id,field_id,taxonomy_id,created_at,updated_at
e384119b-47fd-40cd-9e0a-64b6db783190,aafc5b31-a1e1-4e55-b42d-42c85aca58fe,6e135935-cc70-4b2b-816b-a075ed11ccf9,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
c028c7c8-f477-46d2-8fd7-c9d8c3c5d8ff,13204de8-66d6-4368-bbe1-3c4f511a1a17,90bfb056-3c4a-4778-85bb-3f23d406bf3d,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
18a94a64-8aec-4959-a2c9-5701c231043a,dd4a946b-5054-4735-b2b2-0a9952182baa,20cb68d9-aa5c-45da-9237-cb7489741a76,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
a5e7d8d0-f31a-4ddf-9efb-2f57c4ae0add,5e109d29-9063-4adf-8644-369f9927b8ec,06de3e63-c3a2-4441-8242-bdf2e2245a2d,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
b1d65d10-9f23-410c-bef4-f6abb0dfd77d,c6b39081-d375-4dec-9046-037a93ed5f90,6e135935-cc70-4b2b-816b-a075ed11ccf9,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
fa6313c5-19fb-4040-a5ad-fcbfb0775c5e,69d28d6f-b35e-4545-90b7-3a81cdf40044,90bfb056-3c4a-4778-85bb-3f23d406bf3d,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
07deaf0e-d8b5-4052-a550-35fb85798783,26a82244-3791-4d92-aa18-cc7e940b72a9,6f77bd5d-3c20-49a9-8529-95c5eb06cfcf,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
915eb6af-b93e-41f1-aad6-7c5c816ac24f,d8f009fe-2e81-474f-ac25-8fc5903e8b3d,f234b65f-7f3b-4be0-ae2f-6589c97986ce,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
ed44bec0-efe9-46ad-8581-3cc0f8d078f9,999bb9f9-5ee7-4259-a67c-ee3b3758f9b3,6e135935-cc70-4b2b-816b-a075ed11ccf9,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
1b63ba36-4a6c-4aa4-be64-fc7c5118d5f3,731e9a19-d9a8-49f7-bfdb-34c2aef6fe51,90bfb056-3c4a-4778-85bb-3f23d406bf3d,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
347f099c-dcee-4bd9-b6fd-2d4de24997b4,129beaba-d2c3-4e2e-b895-7f56ced2988d,6f77bd5d-3c20-49a9-8529-95c5eb06cfcf,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z